departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
ANTIOQUIA,5,GRANADA,"5,313",Rural,Sin Información,"2,006",1,Menor de 18 años,no,Civil,Herido,Masculino,6.143703,-75.185183,Accidente por MAP,"(6.143703, -75.185183)","Pasando, estando cerca"
CAQUETA,18,MONTAÑITA,"18,410",Rural,Sin Información,"2,009",12,Mayor de 18 años,no,Civil,Herido,Masculino,1.49494421255,-75.4630895064,Accidente por MAP,"(1.49494421255, -75.4630895064)",Erradicador manual - PCI
PUTUMAYO,86,PUERTO ASÍS,"86,568",Rural,Sin Información,"2,008",4,Mayor de 18 años,no,Civil,Muerto,Masculino,0.502569,-76.49818,Accidente por MAP,"(0.502569, -76.49818)",Erradicador manual - PCI
CORDOBA,23,PUERTO LIBERTADOR,"23,580",Rural,Sin Información,"2,009",11,Mayor de 18 años,no,Civil,Herido,Masculino,7.883545,-75.670508,Accidente por MAP,"(7.883545, -75.670508)",Erradicador manual - PCI
CORDOBA,23,PUERTO LIBERTADOR,"23,580",Rural,Sin Información,"2,009",11,Mayor de 18 años,no,Civil,Herido,Masculino,7.883545,-75.670508,Accidente por MAP,"(7.883545, -75.670508)",Erradicador manual - PCI
CORDOBA,23,PUERTO LIBERTADOR,"23,580",Rural,Sin Información,"2,009",11,Mayor de 18 años,no,Civil,Herido,Masculino,7.883545,-75.670508,Accidente por MAP,"(7.883545, -75.670508)",Erradicador manual - PCI
CORDOBA,23,PUERTO LIBERTADOR,"23,580",Rural,Sin Información,"2,009",11,Mayor de 18 años,no,Civil,Herido,Masculino,7.883545,-75.670508,Accidente por MAP,"(7.883545, -75.670508)",Erradicador manual - PCI
NARIÑO,52,BARBACOAS,"52,079",Rural,Vereda Santa Lucia,"2,010",1,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,1.5875,-78.2275,Accidente por MAP,"(1.5875, -78.2275)",Fuerza pública
ANTIOQUIA,5,TARAZÁ,"5,790",Rural,Quebrada Iraca,"2,010",1,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,7.372777777777777,-75.20444444444445,Accidente por MAP,"(7.372777777777777, -75.20444444444445)",Fuerza pública
ANTIOQUIA,5,VALDIVIA,"5,854",Rural,Sin Información,"2,008",3,Mayor de 18 años,no,Civil,Herido,Masculino,7.165222,-75.438081,Accidente por MAP,"(7.165222, -75.438081)",Erradicador manual - PCI
CAUCA,19,TORIBÍO,"19,821",Rural,Vereda Vichiqui,"2,009",8,Menor de 18 años,Indigena,Civil,Muerto,Femenino,2.955399,-76.268615,Accidente por MAP,"(2.955399, -76.268615)",Sin Información
ANTIOQUIA,5,VALDIVIA,"5,854",Rural,Sin Información,"2,008",3,Mayor de 18 años,no,Civil,Herido,Masculino,7.165222,-75.438081,Accidente por MAP,"(7.165222, -75.438081)",Erradicador manual - PCI
CAUCA,19,TORIBÍO,"19,821",Rural,Vereda Vichiqui,"2,009",8,Menor de 18 años,Indigena,Civil,Herido,Masculino,2.955399,-76.268615,Accidente por MAP,"(2.955399, -76.268615)",Sin Información
NARIÑO,52,SANTA CRUZ,"52,699",Rural,Sin Información,"2,009",7,Mayor de 18 años,no,Civil,Herido,Femenino,1.225,-77.68,Accidente por MAP,"(1.225, -77.68)",Sin Información
ANTIOQUIA,5,VALDIVIA,"5,854",Urbana,Sin Información,"2,009",4,Mayor de 18 años,no,Civil,Herido,Masculino,7.274352,-75.382426,Accidente por MAP,"(7.274352, -75.382426)",Erradicador manual - PCI
ANTIOQUIA,5,VALDIVIA,"5,854",Rural,Sin Información,"2,008",3,Mayor de 18 años,no,Civil,Herido,Masculino,7.165222,-75.438081,Accidente por MAP,"(7.165222, -75.438081)",Erradicador manual - PCI
NARIÑO,52,RICAURTE,"52,612",Rural,Sin Información,"2,009",12,Mayor de 18 años,Indigena,Civil,Muerto,Femenino,1.212529,-77.995412,Accidente por MAP,"(1.212529, -77.995412)",Transito por via usual
GUAVIARE,95,SAN JOSÉ DEL GUAVIARE,"95,001",Rural,Tomachipan,"2,009",10,Mayor de 18 años,no,Civil,Herido,Masculino,2.255,-71.7891666666667,Accidente por MAP,"(2.255, -71.7891666666667)",Erradicador manual - PCI
GUAVIARE,95,SAN JOSÉ DEL GUAVIARE,"95,001",Rural,Tomachipan,"2,009",10,Mayor de 18 años,no,Civil,Herido,Masculino,2.255,-71.7891666666667,Accidente por MAP,"(2.255, -71.7891666666667)",Erradicador manual - PCI
META,50,SAN JUAN DE ARAMA,"50,683",Rural,Sin Información,"2,009",12,Mayor de 18 años,no,Civil,Herido,Masculino,3.380464,-73.878772,Accidente por MAP,"(3.380464, -73.878772)",Cuidado de animales
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Muerto,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Muerto,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
BOLIVAR,13,SAN PABLO,"13,670",Rural,Sin Información,"2,009",8,Mayor de 18 años,no,Civil,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)",Erradicador manual - PCI
BOLIVAR,13,SAN PABLO,"13,670",Rural,Sin Información,"2,009",8,Mayor de 18 años,no,Civil,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)",Erradicador manual - PCI
CAQUETA,18,MONTAÑITA,"18,410",Rural,Sin Información,"2,009",10,Mayor de 18 años,no,Civil,Herido,Masculino,1.49494421255,-75.4630895064,Accidente por MAP,"(1.49494421255, -75.4630895064)",Erradicador manual - PCI
PUTUMAYO,86,SAN MIGUEL,"86,757",Rural,Sin Información,"2,008",9,Mayor de 18 años,no,Civil,Herido,Masculino,0.343179,-76.911852,Accidente por MAP,"(0.343179, -76.911852)",Erradicador manual - PCI
ANTIOQUIA,5,TARAZÁ,"5,790",Rural,Sin Información,"2,009",7,Mayor de 18 años,no,Civil,Herido,Masculino,7.58831222222222,-75.4028944444444,Accidente por MAP,"(7.58831222222222, -75.4028944444444)",Erradicador manual - PCI
ANTIOQUIA,5,TARAZÁ,"5,790",Rural,Sin Información,"2,009",7,Mayor de 18 años,no,Civil,Herido,Masculino,7.58831222222222,-75.4028944444444,Accidente por MAP,"(7.58831222222222, -75.4028944444444)",Erradicador manual - PCI
ANTIOQUIA,5,TARAZÁ,"5,790",Rural,Sin Información,"2,009",7,Mayor de 18 años,no,Civil,Herido,Masculino,7.58831222222222,-75.4028944444444,Accidente por MAP,"(7.58831222222222, -75.4028944444444)",Erradicador manual - PCI
ANTIOQUIA,5,TARAZÁ,"5,790",Rural,Sin Información,"2,009",7,Mayor de 18 años,no,Civil,Herido,Masculino,7.58831222222222,-75.4028944444444,Accidente por MAP,"(7.58831222222222, -75.4028944444444)",Erradicador manual - PCI
