Car;Sales;Type;;;
Chevrolet Montana;10874;PickUp;;;
Toyota Hiace;11004;Crossover;;;
Fiat Palio;11012;Hatchback;;;
Kia Soul;11222;Crossover;;;
Toyota Prius;11762;Sedán;;;
Suzuki Vitara;11934;SUV;;;
Honda WR-V;12265;Crossover;;;
Chevrolet Cavalier;12589;Sedán;;;
Mazda 2;12906;Hatchback;;;
Chevrolet Trax;13188;Crossover;;;
Dodge Attitude;13222;Sedán;;;
Volkswagen Golf;13625;Hatchback;;;
Hyundai Elantra;13743;Sedán;;;
Citroën C3;13932;Crossover;;;
Ford F-Series;14500;PickUp;;;
Mazda CX-3;14577;Crossover;;;
Nissan Frontier;14590;PickUp;;;
Toyota SW4;15284;SUV;;;
Toyota Yaris Sedán;15647;Sedán;;;
Chevrolet Cruze Sedán;16504;Sedán;;;
Chevrolet Cruze;16533;Hatchback;;;
Renault Kangoo;17621;Crossover;;;
Kia Forte (Cerato);17858;Sedán;;;
Fiat Fiorino;17870;Crossover;;;
Ford Figo;18358;Hatchback;;;
Fiat Siena;18575;Sedán;;;
Mazda CX-5;18730;Crossover;;;
Kia Picanto;18975;Hatchback;;;
Peugeot 2008;19091;Crossover;;;
Volkswagen Tiguan;19121;SUV;;;
Toyota Etios Sedán;19190;Sedán;;;
Fiat Uno;19279;Crossover;;;
Ford Focus;19494;Hatchback;;;
Chevrolet Cobalt;19541;Sedán;;;
Hyundai Grand i10;19897;Hatchback;;;
Peugeot Partner;20222;Crossover;;;
Nissan X-Trail;20926;SUV;;;
Honda City;23639;Sedán;;;
Chevrolet Spin;23804;Crossover;;;
Mitsubishi L200;24831;PickUp;;;
Renault Duster Oroch;24926;PickUp;;;
Toyota Etios;25157;Hatchback;;;
Toyota RAV4;25666;SUV;;;
Honda CR-V;25725;Crossover;;;
Mazda 3;26092;Sedán;;;
Hyundai HB20S;26898;Sedán;;;
Chevrolet Sail;27177;Sedán;;;
Chevrolet Spark;27248;Hatchback;;;
Honda Fit;27327;Hatchback;;;
Hyundai Tucson;27357;Crossover;;;
Suzuki Swift;27496;Hatchback;;;
Hyundai Accent;28044;Sedán;;;
Peugeot 208;31295;Hatchback;;;
Toyota Etios;31887;Sedán;;;
Volkswagen Fox/CrossFox;32462;Hatchback;;;
Honda Civic;32941;Hatchback;;;
Volkswagen Up;33952;Hatchback;;;
Volkswagen Jetta;34708;Sedán;;;
Volkswagen Voyage;35300;Sedán;;;
Fiat Cronos;35567;Sedán;;;
Renault Captur;36115;Crossover;;;
Ford Fiesta;36273;Sedán;;;
Chevrolet S10 (Colorado);36719;PickUp;;;
Nissan Sentra;37936;Sedán;;;
Chevrolet Tracker;37992;Crossover;;;
Volkswagen Amarok;38167;PickUp;;;
Volkswagen Virtus;38323;Sedán;;;
Kia Sportage;39717;Crossover;;;
Ford Ranger;41651;PickUp;;;
Kia Rio;43849;Sedán;;;
Renault Logan;45165;Sedán;;;
Volkswagen Vento;47891;Sedán;;;
Renault Duster;48609;Crossover;;;
Hyundai Creta;49774;Crossover;;;
Toyota Yaris;50326;Hatchback;;;
Volkswagen Saveiro;52049;PickUp;;;
Jeep Renegade;52257;SUV;;;
Chevrolet Beat/Spark GT;54155;Hatchback;;;
Fiat Toro;54233;PickUp;;;
Ford Ecosport;55496;Crossover;;;
Jeep Compass;56502;SUV;;;
Fiat Mobi;57430;Hatchback;;;
Chevrolet Aveo;62362;Sedán;;;
Honda HR-V;63232;Crossover;;;
Fiat Strada;63421;PickUp;;;
Nissan NP300 Frontier;64856;PickUp;;;
Nissan March;68141;Hatchback;;;
Nissan Kicks;69206;Crossover;;;
Renault Kwid;72256;Hatchback;;;
Fiat Argo;73085;Hatchback;;;
Toyota Corolla;79151;Sedán;;;
Volkswagen Polo;83861;Hatchback;;;
Chevrolet Prisma (Onix Sedán);86452;Sedán;;;
Renault Sandero;86796;Hatchback;;;
Hyundai HB20;88822;Hatchback;;;
Volkswagen Gol;106344;Sedán;;;
Toyota Hilux;109127;PickUp;;;
Nissan Versa;110291;Sedán;;;
Ford Ka;140830;Hatchback;;;
Chevrolet Onix;204569;Hatchback;;;
;;;;;
;;;;;
;;;;;
